nome_popular;nome_cientifico;nome_ingles;
arapaçu-de-bico-curvo-do-xingu;Campylorhamphus multostriatus;Snethlage's Scythebill;
arapaçu-de-bico-torto;Campylorhamphus falcularius;Black-billed Scythebill;
arapaçu-de-bico-vermelho;Hylexetastes perrotii;Red-billed Woodcreeper;
arapaçu-de-cerrado;Lepidocolaptes angustirostris;Narrow-billed Woodcreeper;
arapaçu-de-garganta-amarela;Xiphorhynchus guttatus;Buff-throated Woodcreeper;
arapaçu-de-garganta-branca;Xiphocolaptes albicollis;White-throated Woodcreeper;
arapaçu-de-garganta-pintada;Certhiasomus stictolaemus;Spot-throated Woodcreeper;
arapaçu-de-lafresnaye;Xiphorhynchus guttatoides;Lafresnaye's Woodcreeper;
arapaçu-de-listras-brancas;Lepidocolaptes albolineatus;Guianan Woodcreeper;
arapaçu-de-listras-brancas-do-leste;Lepidocolaptes layardi;Layard's Woodcreeper;
arapaçu-de-rondônia;Lepidocolaptes fuscicapillus;Rondonia Woodcreeper;
arapaçu-de-spix;Xiphorhynchus spixii;Spix's Woodcreeper;
arapaçu-de-tschudi;Xiphorhynchus chunchotambo;Tschudi's Woodcreeper;
arapaçu-de-wagler;Lepidocolaptes wagleri;Wagler’s Woodcreeper;
arapaçu-do-campo;Xiphocolaptes major;Great Rufous Woodcreeper;
arapaçu-do-carajás;Xiphocolaptes carajaensis;Carajas Woodcreeper;
arapaçu-do-duida;Lepidocolaptes duidae;Duida Woodcreeper;
arapaçu-do-inambari;Lepidocolaptes fatimalimae;Inambari Woodcreeper;
arapaçu-do-nordeste;Xiphocolaptes falcirostris;Moustached Woodcreeper;
arapaçu-do-tapajós;Campylorhamphus cardosoi;Tapajos Scythebill;
arapaçu-do-tupana;Campylorhamphus gyldenstolpei;Tupana Scythebill;
arapaçu-elegante;Xiphorhynchus elegans;Elegant Woodcreeper;
arapaçu-escamoso;Lepidocolaptes squamatus;Scaled Woodcreeper;
arapaçu-escamoso-do-sul;Lepidocolaptes falcinellus;Scalloped Woodcreeper;
