nome_popular;nome_cientifico;nome_ingles;
formigueiro-de-roraima;Myrmelastes saturatus;Roraiman Antbird;
formigueiro-de-taoca;Hafferia fortis;Sooty Antbird;
formigueiro-de-yapacana;Aprositornis disjuncta;Yapacana Antbird;
formigueiro-do-bambu;Myrmoborus lophotes;White-lined Antbird;
formigueiro-do-caura;Myrmelastes caurensis;Caura Antbird;
formigueiro-do-litoral;Formicivora littoralis;Restinga Antwren;
formigueiro-do-nordeste;Formicivora iheringi;Narrow-billed Antwren;
formigueiro-ferrugem;Myrmoderus ferrugineus;Ferruginous-backed Antbird;
formigueiro-grande;Akletos melanoceps;White-shouldered Antbird;
formigueiro-liso-do-pará;Myrmoborus lugubris;Ash-breasted Antbird;
formigueiro-liso-do-rio-negro;Myrmoborus stictopterus;Rio Negro Ash-breasted Antbird;
formigueiro-liso-do-solimões;Myrmoborus berlepschi;Berlepsch's Antbird;
formigueiro-preto-e-branco;Myrmochanes hemileucus;Black-and-white Antbird;
fragata;Fregata magnificens;Magnificent Frigatebird;
fragata-de-ascenção;Fregata aquila;Ascension Frigatebird;
fragata-grande;Fregata minor;Great Frigatebird;
fragata-pequena;Fregata trinitatis;Atlantic Lesser Frigatebird;
frango-d'água-africano;Porphyrio alleni;Allen's Gallinule;
frango-d'água-azul;Porphyrio martinica;Purple Gallinule;
frango-d'água-pequeno;Porphyrio flavirostris;Azure Gallinule;
freirinha;Arundinicola leucocephala;White-headed Marsh Tyrant;
freirinha-amarelada;Nonnula sclateri;Fulvous-chinned Nunlet;
freirinha-de-cabeça-castanha;Nonnula amaurocephala;Chestnut-headed Nunlet;
freirinha-de-coroa-castanha;Nonnula ruficapilla;Rufous-capped Nunlet;
fruxu;Neopelma chrysolophum;Serra do Mar Tyrant-Manakin;
fruxu-baiano;Neopelma aurifrons;Wied's Tyrant-Manakin;
fruxu-de-barriga-amarela;Neopelma sulphureiventer;Sulphur-bellied Tyrant-Manakin;
fruxu-do-carrasco;Neopelma chrysocephalum;Saffron-crested Tyrant-Manakin;
fruxu-do-cerradão;Neopelma pallescens;Pale-bellied Tyrant-Manakin;
fura-bucho-de-cara-cinza;Pterodroma macroptera;Great-winged Petrel;
fura-flor-escamoso;Diglossa duidae;Scaled Flowerpiercer;
fura-flor-grande;Diglossa major;Greater Flowerpiercer;
furriel;Caryothraustes brasiliensis;Brazilian Grosbeak;
furriel-de-encontro;Parkerthraustes humeralis;Yellow-shouldered Grosbeak;
furriel-do-norte;Caryothraustes canadensis;Yellow-green Grosbeak;
fuselo;Limosa lapponica;Bar-tailed Godwit;
gaivota-alegre;Leucophaeus atricilla;Laughing Gull;
gaivota-cinzenta;Leucophaeus modestus;Gray Gull;
gaivota-da-asa-escura;Larus fuscus;Lesser Black-backed Gull;
gaivota-de-cabeça-cinza;Chroicocephalus cirrocephalus;Gray-hooded Gull;
gaivota-de-capuz-escuro;Chroicocephalus ridibundus;Black-headed Gull;
gaivota-de-franklin;Leucophaeus pipixcan;Franklin's Gull;
gaivota-de-rabo-preto;Larus atlanticus;Olrog's Gull;
gaivota-de-sabine;Xema sabini;Sabine's Gull;
gaivota-maria-velha;Chroicocephalus maculipennis;Brown-hooded Gull;
gaivotão;Larus dominicanus;Kelp Gull;
galinha-d'água;Gallinula galeata;Common Gallinule;
galinha-d'água-carijó;Porphyriops melanops;Spot-flanked Gallinule;
galinha-d'água-pequena;Paragallinula angulata;Lesser Moorhen;
galinha-do-mato;Formicarius colma;Rufous-capped Antthrush;
galito;Alectrurus tricolor;Cock-tailed Tyrant;
galo-da-serra;Rupicola rupicola;Guianan Cock-of-the-rock;
ganso-de-magalhães;Chloephaga picta;Upland Goose;
garça-azul;Egretta caerulea;Little Blue Heron;
garça-branca-grande;Ardea alba;Great Egret;
garça-branca-pequena;Egretta thula;Snowy Egret;
garça-caranguejeira;Ardeola ralloides;Squacco Heron;
garça-da-mata;Agamia agami;Agami Heron;
garça-moura;Ardea cocoi;Cocoi Heron;
garça-moura-europeia;Ardea cinerea;Gray Heron;
garça-negra;Egretta gularis;Western Reef-Heron;
garça-pequena-europeia;Egretta garzetta;Little Egret;
garça-real;Pilherodius pileatus;Capped Heron;
garça-roxa;Ardea purpurea;Purple Heron;
garça-tricolor;Egretta tricolor;Tricolored Heron;
garça-vaqueira;Bubulcus ibis;Cattle Egret;
garibaldi;Chrysomus ruficapillus;Chestnut-capped Blackbird;
garrincha-chorona;Asthenes moreirae;Itatiaia Spinetail;
garrincha-cinza;Cantorchilus griseus;Gray Wren;
garrincha-do-oeste;Cantorchilus guarayanus;Fawn-breasted Wren;
garrincha-dos-lhanos;Campylorhynchus griseus;Bicolored Wren;
garrinchão-coraia;Pheugopedius coraya;Coraya Wren;
garrinchão-de-barriga-vermelha;Cantorchilus leucotis;Buff-breasted Wren;
garrinchão-de-bico-grande;Cantorchilus longirostris;Long-billed Wren;
garrinchão-pai-avô;Pheugopedius genibarbis;Moustached Wren;
gaturamo-bandeira;Chlorophonia cyanea;Blue-naped Chlorophonia;
gaturamo-capim;Euphonia finschi;Finsch's Euphonia;
gaturamo-de-barriga-branca;Euphonia minuta;White-vented Euphonia;
gaturamo-de-bico-grosso;Euphonia laniirostris;Thick-billed Euphonia;
gaturamo-do-norte;Euphonia rufiventris;Rufous-bellied Euphonia;
gaturamo-miúdo;Euphonia plumbea;Plumbeous Euphonia;
gaturamo-preto;Euphonia cayennensis;Golden-sided Euphonia;
gaturamo-rei;Cyanophonia cyanocephala;Golden-rumped Euphonia;
gaturamo-verdadeiro;Euphonia violacea;Violaceous Euphonia;
gaturamo-verde;Euphonia chrysopasta;Golden-bellied Euphonia;
gaúcha-d'água;Syrtidicola fluviatilis;Little Ground-Tyrant;
gaúcha-de-barriga-alaranjada;Muscisaxicola capistratus;Cinnamon-bellied Ground-Tyrant;
gaúcha-de-bico-manchado;Muscisaxicola maculirostris;Spot-billed Ground-Tyrant;
gaúcha-de-cara-suja;Muscisaxicola maclovianus;Dark-faced Ground-Tyrant;
gauchinho;Agriornis murinus;Lesser Shrike-tyrant;
gaúcho-chocolate;Nengetus rufiventris;Chocolate-vented Tyrant;
gaúcho-de-barriga-cinza;Agriornis micropterus;Gray-bellied Shrike-tyrant;
gavião-asa-de-telha;Parabuteo unicinctus;Harris's Hawk;
gavião-azul;Buteogallus schistaceus;Slate-colored Hawk;
gavião-belo;Busarellus nigricollis;Black-collared Hawk;
gavião-bombachinha;Harpagus diodon;Rufous-thighed Kite;
gavião-bombachinha-grande;Accipiter bicolor;Bicolored Hawk;
gavião-branco;Pseudastur albicollis;White Hawk;
gavião-caboclo;Heterospizias meridionalis;Savanna Hawk;
gavião-caracoleiro;Chondrohierax uncinatus;Hook-billed Kite;
gavião-caramujeiro;Rostrhamus sociabilis;Snail Kite;
gavião-caranguejeiro;Buteogallus aequinoctialis;Rufous Crab Hawk;
gavião-carijó;Rupornis magnirostris;Roadside Hawk;
gavião-cinza;Circus cinereus;Cinereous Harrier;
gavião-de-anta;Daptrius ater;Black Caracara;
gavião-de-asa-larga;Buteo platypterus;Broad-winged Hawk;
gavião-de-cara-preta;Leucopternis melanops;Black-faced Hawk;
gavião-de-cauda-curta;Buteo brachyurus;Short-tailed Hawk;
gavião-de-penacho;Spizaetus ornatus;Ornate Hawk-Eagle;
gavião-de-rabo-branco;Geranoaetus albicaudatus;White-tailed Hawk;
gavião-de-sobre-branco;Parabuteo leucorrhous;White-rumped Hawk;
gavião-do-banhado;Circus buffoni;Long-winged Harrier;
gavião-do-igapó;Helicolestes hamatus;Slender-billed Kite;
gavião-gato;Leptodon cayanensis;Gray-headed Kite;
gavião-gato-do-nordeste;Leptodon forbesi;White-collared Kite;
gavião-papa-gafanhoto;Buteo swainsoni;Swainson's Hawk;
gavião-pato;Spizaetus melanoleucus;Black-and-white Hawk-Eagle;
gavião-pedrês;Buteo nitidus;Gray-lined Hawk;
gavião-pega-macaco;Spizaetus tyrannus;Black Hawk-Eagle;
gavião-peneira;Elanus leucurus;White-tailed Kite;
gavião-pernilongo;Geranospiza caerulescens;Crane Hawk;
gavião-pombo-grande;Pseudastur polionotus;Mantled Hawk;
gavião-pombo-pequeno;Amadonastur lacernulatus;White-necked Hawk;
gavião-preto;Urubitinga urubitinga;Great Black Hawk;
gavião-real;Harpia harpyja;Harpy Eagle;
gavião-ripina;Harpagus bidentatus;Double-toothed Kite;
gavião-tesoura;Elanoides forficatus;Swallow-tailed Kite;
gavião-urubu;Buteo albonotatus;Zone-tailed Hawk;
gavião-vaqueiro;Leucopternis kuhli;White-browed Hawk;
gaviãozinho;Gampsonyx swainsonii;Pearl Kite;
gibão-de-couro;Hirundinea ferruginea;Cliff Flycatcher;
golinho;Sporophila albogularis;White-throated Seedeater;
gralha-azul;Cyanocorax caeruleus;Azure Jay;
gralha-cancã;Cyanocorax cyanopogon;White-naped Jay;
gralha-da-guiana;Cyanocorax cayanus;Cayenne Jay;
gralha-de-nuca-azul;Cyanocorax heilprini;Azure-naped Jay;
gralha-do-campo;Cyanocorax cristatellus;Curl-crested Jay;
gralha-do-pantanal;Cyanocorax cyanomelas;Purplish Jay;
gralha-picaça;Cyanocorax chrysops;Plush-crested Jay;
gralha-violácea;Cyanocorax violaceus;Violaceous Jay;
gravatazeiro;Rhopornis ardesiacus;Slender Antbird;
graveteiro;Phacellodomus ruber;Greater Thornbird;
grazina;Gygis alba;Atlantic White Tern;
grazina-da-madeira;Pterodroma madeira;Zino's Petrel;
grazina-de-barriga-branca;Pterodroma incerta;Atlantic Petrel;
grazina-de-bico-curto;Lugensa brevirostris;Kerguelen Petrel;
grazina-de-cabeça-branca;Pterodroma lessonii;White-headed Petrel;
grazina-de-desertas;Pterodroma deserta;Desertas Petrel;
grazina-de-trindade;Pterodroma arminjoniana;Trindade Petrel;
grazina-delicada;Pterodroma mollis;Soft-plumaged Petrel;
grimpeirinho;Leptasthenura striolata;Striolated Tit-Spinetail;
grimpeiro;Leptasthenura setaria;Araucaria Tit-Spinetail;
gritador;Sirystes sibilator;Sibilant Sirystes;
gritador-da-guiana;Sirystes subcanescens;Todd's Sirystes;
gritador-de-sobre-branco;Sirystes albocinereus;White-rumped Sirystes;
guácharo;Steatornis caripensis;Oilbird;
guará;Eudocimus ruber;Scarlet Ibis;
guaracava-cinzenta;Myiopagis caniceps;Gray Elaenia;
guaracava-de-barriga-amarela;Elaenia flavogaster;Yellow-bellied Elaenia;
guaracava-de-crista-alaranjada;Myiopagis viridicata;Greenish Elaenia;
guaracava-de-crista-branca;Elaenia chilensis;Chilean Elaenia;
guaracava-de-penacho-amarelo;Myiopagis flavivertex;Yellow-crowned Elaenia;
guaracava-de-topete-uniforme;Elaenia cristata;Plain-crested Elaenia;
guaracava-de-topete-vermelho;Elaenia ruficeps;Rufous-crowned Elaenia;
guaracava-do-rio;Elaenia pelzelni;Brownish Elaenia;
guaracava-dos-tepuis;Elaenia dayi;Great Elaenia;
guaracava-grande;Elaenia spectabilis;Large Elaenia;
guaracava-modesta;Sublegatus modestus;Southern Scrub-Flycatcher;
guaracava-serrana;Elaenia olivina;Roraiman Elaenia;
guaracavuçu;Cnemotriccus fuscatus;Fuscous Flycatcher;
guarda-floresta;Hylophylax naevius;Spot-backed Antbird;
guarda-várzea;Hylophylax punctulatus;Dot-backed Antbird;
guaxe;Cacicus haemorrhous;Red-rumped Cacique;
inhambu-anhangá;Crypturellus variegatus;Variegated Tinamou;
inhambu-anhangaí;Crypturellus bartletti;Bartlett's Tinamou;
inhambu-carijó;Crypturellus brevirostris;Rusty Tinamou;
inhambu-chintã;Crypturellus tataupa;Tataupa Tinamou;
inhambu-chororó;Crypturellus parvirostris;Small-billed Tinamou;
inhambu-de-coroa-preta;Crypturellus atrocapillus;Black-capped Tinamou;
inhambu-de-pé-cinza;Crypturellus duidae;Gray-legged Tinamou;
inhambu-de-perna-vermelha;Crypturellus erythropus;Red-legged Tinamou;
inhambu-galinha;Tinamus guttatus;White-throated Tinamou;
inhambu-pixuna;Crypturellus cinereus;Cinereous Tinamou;
inhambu-relógio;Crypturellus strigulosus;Brazilian Tinamou;
inhambu-serra;Tinamus major;Great Tinamou;
inhambuguaçu;Crypturellus obsoletus;Brown Tinamou;
inhapim;Icterus cayanensis;Epaulet Oriole;
ipecuá;Thamnomanes caesius;Cinereous Antshrike;
iratauá-grande;Gymnomystax mexicanus;Oriole Blackbird;
iratauá-pequeno;Chrysomus icterocephalus;Yellow-hooded Blackbird;
iraúna-da-guiana;Macroagelaius imthurni;Golden-tufted Grackle;
iraúna-de-bico-branco;Cacicus solitarius;Solitary Black Cacique;
iraúna-do-norte;Quiscalus lugubris;Carib Grackle;
iraúna-grande;Molothrus oryzivorus;Giant Cowbird;
iraúna-velada;Lampropsar tanagrinus;Velvet-fronted Grackle;
irerê;Dendrocygna viduata;White-faced Whistling-Duck;
irré;Myiarchus swainsoni;Swainson's Flycatcher;
jacamaraçu;Jacamerops aureus;Great Jacamar;
jacamim-de-costas-amarelas;Psophia ochroptera;Yellow-winged Trumpeter;
jacamim-de-costas-brancas;Psophia leucoptera;Pale-winged Trumpeter;
jacamim-de-costas-cinzentas;Psophia crepitans;Gray-winged Trumpeter;
jacamim-de-costas-escuras;Psophia obscura;Dark-winged Trumpeter;
jacamim-de-costas-marrons;Psophia dextralis;Brown-winged Trumpeter;
jacamim-de-costas-verdes;Psophia viridis;Green-winged Trumpeter;
jacamim-do-napo;Psophia napensis;Napo Trumpeter;
jacamim-do-xingu;Psophia interjecta;Xingu Trumpeter;
jaçanã;Jacana jacana;Wattled Jacana;
jacu-de-barriga-castanha;Penelope ochrogaster;Chestnut-bellied Guan;
jacu-de-spix;Penelope jacquacu;Spix's Guan;
jacu-estalo;Neomorphus geoffroyi;Rufous-vented Ground-Cuckoo;
jacu-estalo-de-asa-vermelha;Neomorphus rufipennis;Rufous-winged Ground-Cuckoo;
jacu-estalo-de-bico-vermelho;Neomorphus pucheranii;Red-billed Ground-Cuckoo;
jacu-estalo-escamoso;Neomorphus squamiger;Scaled Ground-Cuckoo;
jacucaca;Penelope jacucaca;White-browed Guan;
jacuguaçu;Penelope obscura;Dusky-legged Guan;
jacumirim;Penelope marail;Marail Guan;
jacupemba;Penelope superciliaris;Rusty-margined Guan;
jacupiranga;Penelope pileata;White-crested Guan;
jacurutu;Bubo virginianus;Great Horned Owl;
jacutinga;Aburria jacutinga;Black-fronted Piping-Guan;
jacutinga-de-garganta-azul;Aburria cumanensis;Blue-throated Piping-Guan;
jandaia-amarela;Aratinga solstitialis;Sun Parakeet;
jandaia-de-testa-vermelha;Aratinga auricapillus;Golden-capped Parakeet;
jandaia-verdadeira;Aratinga jandaya;Jandaya Parakeet;
jaó;Crypturellus undulatus;Undulated Tinamou;
jaó-do-sul;Crypturellus noctivagus;Yellow-legged Tinamou;
japacanim;Donacobius atricapilla;Black-capped Donacobius;
japu;Psarocolius decumanus;Crested Oropendola;
japu-de-capacete;Cacicus oseryi;Casqued Cacique;
japu-de-rabo-verde;Cacicus latirostris;Band-tailed Cacique;
japu-pardo;Psarocolius angustifrons;Russet-backed Oropendola;
japu-verde;Psarocolius viridis;Green Oropendola;
japuguaçu;Psarocolius bifasciatus;Olive Oropendola;
joão-baiano;Synallaxis cinerea;Bahia Spinetail;
joão-bobo;Nystalus chacuru;White-eared Puffbird;
joão-botina-da-mata;Phacellodomus erythrophthalmus;Orange-eyed Thornbird;
joão-botina-do-brejo;Phacellodomus ferrugineigula;Orange-breasted Thornbird;
joão-chaquenho;Tarphonomus certhioides;Chaco Earthcreeper;
joão-corta-pau;Antrostomus rufus;Rufous Nightjar;
joão-da-canarana;Certhiaxis mustelinus;Red-and-white Spinetail;
joão-da-palha;Limnornis curvirostris;Curve-billed Reedhaunter;
joão-de-barba-grisalha;Synallaxis kollari;Hoary-throated Spinetail;
joão-de-barriga-branca;Mazaria propinqua;White-bellied Spinetail;
joão-de-barro;Furnarius rufus;Rufous Hornero;
joão-de-bico-pálido;Furnarius torridus;Pale-billed Hornero;
joão-de-cabeça-cinza;Cranioleuca semicinerea;Gray-headed Spinetail;
joão-de-pau;Phacellodomus rufifrons;Rufous-fronted Thornbird;
joão-de-peito-escuro;Synallaxis albigularis;Dark-breasted Spinetail;
joão-de-roraima;Roraimia adusta;Roraiman Barbtail;
joão-do-araguaia;Synallaxis simoni;Araguaia Spinetail;
joão-do-norte;Synallaxis sp.;Amazonian Spinetail;
joão-do-pantanal;Synallaxis albilora;White-lored Spinetail;
joão-do-tepui;Cranioleuca demissa;Tepui Spinetail;
joão-escamoso;Cranioleuca muelleri;Scaled Spinetail;
joão-escuro;Synallaxis macconnelli;McConnell's Spinetail;
joão-folheiro;Metopothrix aurantiaca;Orange-fronted Plushcrown;
joão-grilo;Synallaxis hypospodia;Cinereous-breasted Spinetail;
joão-liso;Thripophaga fusciceps;Plain Softtail;
joão-pintado;Cranioleuca gutturata;Speckled Spinetail;
joão-pinto;Icterus croconotus;Orange-backed Troupial;
joão-pinto-amarelo;Icterus nigrogularis;Yellow Oriole;
joão-platino;Asthenes hudsoni;Hudson's Canastero;
joão-pobre;Serpophaga nigricans;Sooty Tyrannulet;
joão-porca;Lochmias nematura;Sharp-tailed Streamcreeper;
joão-teneném;Synallaxis spixi;Spix's Spinetail;
joão-teneném-becuá;Synallaxis gujanensis;Plain-crowned Spinetail;
joão-teneném-castanho;Synallaxis rutilans;Ruddy Spinetail;
joão-xique-xique;Synallaxis hellmayri;Red-shouldered Spinetail;
joãozinho;Furnarius minor;Lesser Hornero;
juriti-de-testa-branca;Leptotila rufaxilla;Gray-fronted Dove;
juriti-pupu;Leptotila verreauxi;White-tipped Dove;
juriti-safira;Geotrygon saphirina;Sapphire Quail-Dove;
juriti-vermelha;Geotrygon violacea;Violaceous Quail-Dove;
juruva;Baryphthengus ruficapillus;Rufous-capped Motmot;
juruva-ruiva;Baryphthengus martii;Rufous Motmot;
juruviara;Vireo chivi;Chivi Vireo;
juruviara-barbuda;Vireo altiloquus;Black-whiskered Vireo;
juruviara-boreal;Vireo olivaceus;Red-eyed Vireo;
juruviara-de-noronha;Vireo gracilirostris;Noronha Vireo;
juruviara-verde-amarelada;Vireo flavoviridis;Yellow-green Vireo;
lavadeira-de-cara-branca;Fluvicola albiventer;Black-backed Water-Tyrant;
lavadeira-do-norte;Fluvicola pica;Pied Water-Tyrant;
lavadeira-mascarada;Fluvicola nengeta;Masked Water-Tyrant;
lenheiro;Asthenes baeri;Short-billed Canastero;
lenheiro-da-serra-do-cipó;Asthenes luizae;Cipo Canastero;
lenheiro-de-rabo-comprido;Asthenes pyrrholeuca;Sharp-billed Canastero;
limpa-folha-coroado;Philydor atricapillus;Black-capped Foliage-gleaner;
limpa-folha-de-asa-castanha;Dendroma erythroptera;Chestnut-winged Foliage-gleaner;
limpa-folha-de-bico-virado;Syndactyla ucayalae;Peruvian Recurvebill;
limpa-folha-de-cauda-ruiva;Anabacerthia ruficaudata;Rufous-tailed Foliage-gleaner;
limpa-folha-de-sobre-ruivo;Philydor erythrocercum;Rufous-rumped Foliage-gleaner;
limpa-folha-de-testa-baia;Dendroma rufa;Buff-fronted Foliage-gleaner;
limpa-folha-do-brejo;Syndactyla dimidiata;Russet-mantled Foliage-gleaner;
limpa-folha-do-buriti;Berlepschia rikeri;Point-tailed Palmcreeper;
limpa-folha-do-nordeste;Philydor novaesi;Alagoas Foliage-gleaner;
limpa-folha-miúdo;Anabacerthia amaurotis;White-browed Foliage-gleaner;
limpa-folha-ocráceo;Anabacerthia lichtensteini;Ochre-breasted Foliage-gleaner;
limpa-folha-picanço;Ancistrops strigilatus;Chestnut-winged Hookbill;
limpa-folha-riscado;Automolus subulatus;Striped Woodhaunter;
limpa-folha-vermelho;Philydor pyrrhodes;Cinnamon-rumped Foliage-gleaner;
maçarico-acanelado;Calidris subruficollis;Buff-breasted Sandpiper;
maçarico-branco;Calidris alba;Sanderling;
maçarico-de-asa-branca;Tringa semipalmata;Eastern Willet;
maçarico-de-bico-curto;Tringa glareola;Wood Sandpiper;
maçarico-de-bico-curvo;Calidris ferruginea;Curlew Sandpiper;
maçarico-de-bico-fino;Calidris bairdii;Baird's Sandpiper;
maçarico-de-bico-torto;Numenius hudsonicus;Hudsonian Whimbrel;
maçarico-de-bico-virado;Limosa haemastica;Hudsonian Godwit;
maçarico-de-colete;Calidris melanotos;Pectoral Sandpiper;
maçarico-de-costas-brancas;Limnodromus griseus;Short-billed Dowitcher;
maçarico-de-papo-vermelho;Calidris canutus;Red Knot;
maçarico-de-perna-amarela;Tringa flavipes;Lesser Yellowlegs;
maçarico-de-perna-vermelha;Tringa totanus;Common Redshank;
maçarico-de-sobre-branco;Calidris fuscicollis;White-rumped Sandpiper;
maçarico-do-alasca;Calidris mauri;Western Sandpiper;
maçarico-do-campo;Bartramia longicauda;Upland Sandpiper;
maçarico-esquimó;Numenius borealis;Eskimo Curlew;
maçarico-galego;Numenius phaeopus;Eurasian Whimbrel;
maçarico-grande-de-asa-branca;Tringa inornata;Western Willet;
maçarico-grande-de-perna-amarela;Tringa melanoleuca;Greater Yellowlegs;
maçarico-marmóreo;Limosa fedoa;Marbled Godwit;
maçarico-pequeno;Calidris minuta;Little Stint;
maçarico-pernilongo;Calidris himantopus;Stilt Sandpiper;
maçarico-pintado;Actitis macularius;Spotted Sandpiper;
maçarico-rasteirinho;Calidris pusilla;Semipalmated Sandpiper;
maçarico-solitário;Tringa solitaria;Solitary Sandpiper;
maçarico-tereque;Xenus cinereus;Terek Sandpiper;
maçariquinho;Calidris minutilla;Least Sandpiper;
macuco;Tinamus solitarius;Solitary Tinamou;
macuquinho;Eleoscytalopus indigoticus;White-breasted Tapaculo;
macuquinho-baiano;Eleoscytalopus psychopompus;Bahia Tapaculo;
macuru;Nonnula rubecula;Rusty-breasted Nunlet;
macuru-de-barriga-castanha;Notharchus swainsoni;Buff-bellied Puffbird;
macuru-de-peito-marrom;Notharchus ordii;Brown-banded Puffbird;
macuru-de-pescoço-branco;Notharchus macrorhynchos;Guianan Puffbird;
macuru-de-testa-branca;Notharchus hyperrhynchus;White-necked Puffbird;
macuru-papa-mosca;Micromonacha lanceolata;Lanceolated Monklet;
macuru-pintado;Notharchus tectus;Pied Puffbird;
mãe-de-taoca;Phlegopsis nigromaculata;Black-spotted Bare-eye;
mãe-de-taoca-arlequim;Rhegmatorhina berlepschi;Harlequin Antbird;
mãe-de-taoca-avermelhada;Phlegopsis erythroptera;Reddish-winged Bare-eye;
mãe-de-taoca-bochechuda;Gymnopithys leucaspis;White-cheeked Antbird;
mãe-de-taoca-cabeçuda;Rhegmatorhina melanosticta;Hairy-crested Antbird;
mãe-de-taoca-cristada;Rhegmatorhina cristata;Chestnut-crested Antbird;
mãe-de-taoca-de-cara-branca;Rhegmatorhina gymnops;Bare-eyed Antbird;
mãe-de-taoca-de-cauda-barrada;Oneillornis salvini;White-throated Antbird;
mãe-de-taoca-de-garganta-vermelha;Gymnopithys rufigula;Rufous-throated Antbird;
mãe-de-taoca-dourada;Phlegopsis borbae;Pale-faced Bare-eye;
mãe-de-taoca-papuda;Rhegmatorhina hoffmannsi;White-breasted Antbird;
maguari;Ciconia maguari;Maguari Stork;
maitaca-de-barriga-azul;Pionus reichenowi;Reichenow's Parrot;
maitaca-de-cabeça-azul;Pionus menstruus;Blue-headed Parrot;
maitaca-roxa;Pionus fuscus;Dusky Parrot;
maitaca-verde;Pionus maximiliani;Scaly-headed Parrot;
mandrião-antártico;Stercorarius antarcticus;Brown Skua;
mandrião-chileno;Stercorarius chilensis;Chilean Skua;
mandrião-de-cauda-comprida;Stercorarius longicaudus;Long-tailed Jaeger;
mandrião-do-sul;Stercorarius maccormicki;South Polar Skua;
mandrião-grande;Stercorarius skua;Great Skua;
mandrião-parasítico;Stercorarius parasiticus;Parasitic Jaeger;
mandrião-pomarino;Stercorarius pomarinus;Pomarine Jaeger;
maracanã;Primolius maracana;Blue-winged Macaw;
maracanã-de-cabeça-azul;Primolius couloni;Blue-headed Macaw;
maracanã-de-colar;Primolius auricollis;Yellow-collared Macaw;
maracanã-do-buriti;Orthopsittaca manilatus;Red-bellied Macaw;
maracanã-guaçu;Ara severus;Chestnut-fronted Macaw;
maracanã-pequena;Diopsittaca nobilis;Red-shouldered Macaw;
maria-bicudinha;Hemitriccus josephinae;Boat-billed Tody-Tyrant;
maria-bonita;Taeniotriccus andrei;Black-chested Tyrant;
maria-cabeçuda;Ramphotrigon megacephalum;Large-headed Flatbill;
maria-catarinense;Hemitriccus kaempferi;Kaempfer's Tody-Tyrant;
maria-cavaleira;Myiarchus ferox;Short-crested Flycatcher;
maria-cavaleira-de-rabo-enferrujado;Myiarchus tyrannulus;Brown-crested Flycatcher;
maria-cavaleira-pequena;Myiarchus tuberculifer;Dusky-capped Flycatcher;
maria-corruíra;Euscarthmus rufomarginatus;Rufous-sided Pygmy-Tyrant;
maria-da-campina;Hemitriccus inornatus;Pelzeln's Tody-Tyrant;
maria-da-praia;Ochthornis littoralis;Drab Water Tyrant;
maria-da-restinga;Phylloscartes kronei;Restinga Tyrannulet;
maria-de-barriga-branca;Hemitriccus griseipectus;White-bellied Tody-Tyrant;
maria-de-cauda-escura;Ramphotrigon fuscicauda;Dusky-tailed Flatbill;
maria-de-olho-branco;Hemitriccus zosterops;White-eyed Tody-Tyrant;
maria-de-olho-claro;Atalotriccus pilaris;Pale-eyed Pygmy-Tyrant;
maria-de-peito-marchetado;Hemitriccus flammulatus;Flammulated Pygmy-Tyrant;
maria-de-testa-preta;Phylloscartes nigrifrons;Black-fronted Tyrannulet;
maria-do-madeira;Poecilotriccus senex;Buff-cheeked Tody-Flycatcher;
maria-do-nordeste;Hemitriccus mirandae;Buff-breasted Tody-Tyrant;
maria-faceira;Syrigma sibilatrix;Whistling Heron;
maria-ferrugem;Casiornis rufus;Rufous Casiornis;
maria-fiteira;Lophotriccus vitiosus;Double-banded Pygmy-Tyrant;
maria-leque;Onychorhynchus coronatus;Royal Flycatcher;
maria-leque-do-sudeste;Onychorhynchus swainsoni;Atlantic Royal Flycatcher;
maria-mirim;Hemitriccus minimus;Zimmer's Tody-Tyrant;
maria-pechim;Myiopagis gaimardii;Forest Elaenia;
maria-pequena;Phylloscartes sylviolus;Bay-ringed Tyrannulet;
maria-peruviana;Hemitriccus iohannis;Johannes's Tody-Tyrant;
maria-picaça;Poecilotriccus capitalis;Black-and-white Tody-Flycatcher;
maria-preta-acinzentada;Knipolegus striaticeps;Cinereous Tyrant;
maria-preta-bate-rabo;Knipolegus aterrimus;White-winged Black-Tyrant;
maria-preta-de-bico-azulado;Knipolegus cyanirostris;Blue-billed Black-Tyrant;
maria-preta-de-cauda-ruiva;Knipolegus poecilurus;Rufous-tailed Tyrant;
maria-preta-de-garganta-vermelha;Knipolegus nigerrimus;Velvety Black-Tyrant;
maria-preta-de-penacho;Knipolegus lophotes;Crested Black-Tyrant;
maria-preta-do-igapó;Knipolegus poecilocercus;Amazonian Black-Tyrant;
maria-preta-do-nordeste;Knipolegus franciscanus;Caatinga Black-Tyrant;
maria-preta-do-sul;Knipolegus hudsoni;Hudson's Black-Tyrant;
maria-preta-ribeirinha;Knipolegus orenocensis;Riverside Tyrant;
maria-sebinha;Hemitriccus minor;Snethlage's Tody-Tyrant;
maria-sebinha-do-acre;Hemitriccus cohnhafti;Acre Tody-Tyrant;
maria-te-viu;Tyrannulus elatus;Yellow-crowned Tyrannulet;
maria-topetuda;Lophotriccus eulophotes;Long-crested Pygmy-Tyrant;
marianinha-amarela;Capsiempis flaveola;Yellow Tyrannulet;
marianinha-de-cabeça-amarela;Pionites leucogaster;White-bellied Parrot;
marianinha-de-cabeça-preta;Pionites melanocephalus;Black-headed Parrot;
